@relation Bronx_Train_Processed-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last

@attribute ﻿somoneInjured {0,1}
@attribute isWeekday {0,1}
@attribute 'CRASH TIME' {Afternoon,Morning,Evening}
@attribute 'VEHICLE TYPE CODE 1' {'Passenger Vehicle',Other/NS,Work,Taxi,Bike/Motorcycle}
@attribute isPRCP {0,1}
@attribute TAVG {1-10,-10-0,<-10,11-21,>21}

@data
0,0,Morning,'Passenger Vehicle',0,1-10
0,0,Afternoon,'Passenger Vehicle',0,1-10
0,0,Evening,Work,0,1-10
0,0,Evening,'Passenger Vehicle',0,1-10
1,0,Afternoon,'Passenger Vehicle',0,1-10
0,0,Morning,'Passenger Vehicle',0,1-10
0,0,Morning,'Passenger Vehicle',0,1-10
0,0,Afternoon,'Passenger Vehicle',0,1-10
0,0,Afternoon,'Passenger Vehicle',0,1-10
0,0,Afternoon,'Passenger Vehicle',0,1-10
1,0,Morning,'Passenger Vehicle',0,1-10
0,0,Morning,'Passenger Vehicle',0,1-10
0,0,Afternoon,'Passenger Vehicle',0,1-10
1,0,Morning,Other/NS,0,1-10
1,0,Afternoon,'Passenger Vehicle',0,1-10
0,1,Afternoon,'Passenger Vehicle',0,-10-0
0,1,Evening,'Passenger Vehicle',0,-10-0
0,1,Morning,Taxi,0,-10-0
0,1,Morning,'Passenger Vehicle',0,-10-0
1,1,Afternoon,Other/NS,0,-10-0
0,1,Morning,'Passenger Vehicle',0,-10-0
0,1,Evening,'Passenger Vehicle',0,-10-0
0,1,Afternoon,Work,0,-10-0
0,1,Afternoon,'Passenger Vehicle',0,-10-0
0,1,Morning,'Passenger Vehicle',0,-10-0
1,1,Morning,'Passenger Vehicle',0,-10-0
0,1,Afternoon,Work,0,-10-0
1,1,Afternoon,'Passenger Vehicle',0,-10-0
0,1,Evening,'Passenger Vehicle',0,-10-0
1,1,Morning,'Passenger Vehicle',0,-10-0
1,1,Afternoon,Other/NS,0,-10-0
0,1,Afternoon,'Passenger Vehicle',0,-10-0
0,1,Morning,'Passenger Vehicle',0,-10-0
0,1,Morning,'Passenger Vehicle',0,-10-0
1,1,Evening,'Passenger Vehicle',0,-10-0
1,1,Afternoon,'Passenger Vehicle',0,-10-0
0,1,Morning,'Passenger Vehicle',0,-10-0
1,1,Morning,'Passenger Vehicle',0,-10-0
0,1,Morning,'Passenger Vehicle',0,-10-0
0,1,Morning,Taxi,0,-10-0
0,1,Afternoon,'Passenger Vehicle',0,-10-0
1,1,Afternoon,'Passenger Vehicle',0,-10-0
0,1,Evening,'Passenger Vehicle',0,-10-0
0,1,Afternoon,Work,0,-10-0
0,1,Afternoon,'Passenger Vehicle',0,-10-0
0,1,Morning,'Passenger Vehicle',0,-10-0
0,1,Evening,'Passenger Vehicle',0,-10-0
1,1,Evening,'Passenger Vehicle',0,-10-0
0,1,Morning,'Passenger Vehicle',0,-10-0
0,1,Afternoon,'Passenger Vehicle',0,-10-0
0,1,Afternoon,'Passenger Vehicle',0,-10-0
1,1,Morning,Other/NS,0,-10-0
0,1,Afternoon,'Passenger Vehicle',0,-10-0
0,1,Evening,'Passenger Vehicle',0,-10-0
0,1,Afternoon,'Passenger Vehicle',0,-10-0
1,1,Evening,'Passenger Vehicle',0,-10-0
0,1,Morning,'Passenger Vehicle',0,-10-0
0,1,Morning,Other/NS,0,-10-0
0,1,Morning,'Passenger Vehicle',0,-10-0
0,1,Evening,'Passenger Vehicle',0,-10-0
0,1,Morning,'Passenger Vehicle',0,-10-0
1,1,Evening,'Passenger Vehicle',0,-10-0
0,1,Morning,'Passenger Vehicle',0,-10-0
0,1,Afternoon,Work,0,-10-0
0,1,Afternoon,'Passenger Vehicle',0,-10-0
1,1,Afternoon,Work,0,-10-0
0,1,Afternoon,'Passenger Vehicle',0,-10-0
0,1,Afternoon,'Passenger Vehicle',0,-10-0
0,1,Afternoon,'Passenger Vehicle',0,-10-0
0,1,Morning,Work,0,-10-0
1,1,Morning,'Passenger Vehicle',0,-10-0
1,1,Evening,Other/NS,0,-10-0
0,1,Evening,'Passenger Vehicle',0,-10-0
0,1,Morning,Other/NS,0,-10-0
0,1,Afternoon,'Passenger Vehicle',0,-10-0
0,1,Morning,'Passenger Vehicle',0,-10-0
0,1,Morning,'Passenger Vehicle',0,-10-0
0,1,Morning,'Passenger Vehicle',0,-10-0
0,1,Morning,'Passenger Vehicle',0,-10-0
0,1,Morning,'Passenger Vehicle',0,-10-0
0,1,Evening,'Passenger Vehicle',0,-10-0
0,1,Morning,Work,0,-10-0
1,1,Morning,'Passenger Vehicle',0,-10-0
0,1,Morning,'Passenger Vehicle',0,-10-0
0,1,Evening,'Passenger Vehicle',0,-10-0
0,1,Afternoon,'Passenger Vehicle',0,-10-0
0,1,Evening,'Passenger Vehicle',0,-10-0
1,1,Afternoon,Other/NS,0,-10-0
0,1,Morning,'Passenger Vehicle',0,-10-0
0,1,Afternoon,'Passenger Vehicle',0,-10-0
0,1,Morning,'Passenger Vehicle',0,-10-0
1,1,Afternoon,'Passenger Vehicle',0,-10-0
0,1,Morning,'Passenger Vehicle',0,-10-0
0,1,Evening,'Passenger Vehicle',0,-10-0
0,1,Morning,'Passenger Vehicle',0,-10-0
0,1,Morning,'Passenger Vehicle',0,-10-0
0,1,Morning,'Passenger Vehicle',0,-10-0
0,1,Morning,'Passenger Vehicle',0,-10-0
0,1,Morning,'Passenger Vehicle',0,-10-0
0,1,Afternoon,'Passenger Vehicle',0,-10-0
0,1,Afternoon,Other/NS,0,-10-0
1,1,Afternoon,Work,0,-10-0
0,1,Morning,Other/NS,0,-10-0
0,1,Afternoon,'Passenger Vehicle',0,-10-0
0,1,Morning,'Passenger Vehicle',0,-10-0
0,1,Evening,'Passenger Vehicle',0,-10-0
0,1,Morning,'Passenger Vehicle',0,-10-0
0,1,Morning,'Passenger Vehicle',0,-10-0
0,1,Afternoon,'Passenger Vehicle',0,-10-0
0,1,Evening,Other/NS,0,-10-0
0,1,Afternoon,'Passenger Vehicle',0,-10-0
0,1,Morning,'Passenger Vehicle',0,-10-0
0,1,Afternoon,'Passenger Vehicle',0,-10-0
1,1,Afternoon,'Passenger Vehicle',0,-10-0
0,1,Afternoon,'Passenger Vehicle',0,-10-0
0,1,Morning,'Passenger Vehicle',0,-10-0
0,1,Afternoon,'Passenger Vehicle',0,-10-0
0,1,Afternoon,'Passenger Vehicle',0,-10-0
0,1,Morning,'Passenger Vehicle',0,-10-0
0,1,Morning,'Passenger Vehicle',0,-10-0
0,1,Morning,'Passenger Vehicle',0,-10-0
1,1,Evening,'Passenger Vehicle',0,-10-0
1,1,Morning,'Passenger Vehicle',0,-10-0
0,1,Morning,'Passenger Vehicle',0,-10-0
0,1,Evening,'Passenger Vehicle',0,-10-0
0,1,Morning,Work,0,-10-0
0,1,Morning,Work,0,-10-0
0,1,Morning,'Passenger Vehicle',0,-10-0
1,1,Morning,Work,0,-10-0
0,1,Evening,Taxi,0,-10-0
0,1,Afternoon,'Passenger Vehicle',0,-10-0
0,1,Afternoon,'Passenger Vehicle',0,-10-0
0,1,Afternoon,'Passenger Vehicle',0,-10-0
0,1,Afternoon,'Passenger Vehicle',0,-10-0
0,1,Morning,Work,0,-10-0
0,1,Evening,'Passenger Vehicle',0,-10-0
0,1,Afternoon,'Passenger Vehicle',0,-10-0
0,1,Morning,'Passenger Vehicle',0,-10-0
0,1,Afternoon,'Passenger Vehicle',0,-10-0
0,1,Afternoon,'Passenger Vehicle',0,-10-0
0,1,Morning,'Passenger Vehicle',0,-10-0
0,1,Afternoon,'Passenger Vehicle',0,-10-0
0,1,Morning,'Passenger Vehicle',0,-10-0
0,1,Morning,'Passenger Vehicle',0,-10-0
1,1,Morning,'Passenger Vehicle',0,-10-0
0,1,Afternoon,'Passenger Vehicle',0,-10-0
0,1,Afternoon,'Passenger Vehicle',0,-10-0
0,1,Morning,'Passenger Vehicle',0,-10-0
0,1,Morning,'Passenger Vehicle',0,-10-0
0,1,Afternoon,'Passenger Vehicle',0,-10-0
0,1,Evening,'Passenger Vehicle',0,-10-0
0,1,Evening,'Passenger Vehicle',0,-10-0
1,1,Evening,'Passenger Vehicle',0,-10-0
0,1,Morning,'Passenger Vehicle',0,-10-0
0,1,Afternoon,'Passenger Vehicle',0,-10-0
1,1,Afternoon,'Passenger Vehicle',0,-10-0
0,1,Evening,'Passenger Vehicle',0,-10-0
0,1,Afternoon,'Passenger Vehicle',0,-10-0
0,1,Morning,Taxi,0,-10-0
1,1,Morning,'Passenger Vehicle',0,-10-0
1,1,Evening,'Passenger Vehicle',0,-10-0
0,1,Evening,'Passenger Vehicle',0,-10-0
0,1,Evening,'Passenger Vehicle',0,-10-0
0,1,Morning,Other/NS,0,-10-0
0,1,Afternoon,'Passenger Vehicle',0,-10-0
1,1,Afternoon,'Passenger Vehicle',0,-10-0
1,1,Afternoon,'Passenger Vehicle',0,-10-0
1,1,Morning,Other/NS,0,-10-0
0,1,Morning,Work,0,-10-0
0,1,Evening,'Passenger Vehicle',0,-10-0
0,1,Afternoon,'Passenger Vehicle',0,-10-0
0,1,Morning,'Passenger Vehicle',0,-10-0
0,1,Morning,Work,0,-10-0
0,1,Morning,'Passenger Vehicle',0,-10-0
1,1,Evening,'Passenger Vehicle',0,-10-0
0,1,Afternoon,'Passenger Vehicle',0,-10-0
0,1,Afternoon,'Passenger Vehicle',0,-10-0
0,1,Morning,'Passenger Vehicle',0,-10-0
0,1,Afternoon,'Passenger Vehicle',0,-10-0
0,1,Morning,'Passenger Vehicle',0,-10-0
0,1,Afternoon,'Passenger Vehicle',0,-10-0
0,1,Morning,Taxi,0,-10-0
0,1,Morning,'Passenger Vehicle',0,-10-0
0,1,Afternoon,'Passenger Vehicle',0,-10-0
0,1,Afternoon,'Passenger Vehicle',0,-10-0
0,1,Afternoon,'Passenger Vehicle',0,-10-0
0,1,Evening,'Passenger Vehicle',0,-10-0
0,1,Evening,'Passenger Vehicle',0,-10-0
0,1,Afternoon,Work,0,-10-0
0,1,Morning,'Passenger Vehicle',0,-10-0
0,1,Evening,'Passenger Vehicle',0,-10-0
0,1,Afternoon,'Passenger Vehicle',0,-10-0
0,1,Morning,'Passenger Vehicle',0,-10-0
1,1,Afternoon,'Passenger Vehicle',0,-10-0
1,1,Evening,'Passenger Vehicle',0,-10-0
0,1,Afternoon,'Passenger Vehicle',0,-10-0
0,1,Evening,'Passenger Vehicle',0,-10-0
1,1,Morning,'Passenger Vehicle',0,-10-0
0,1,Afternoon,'Passenger Vehicle',0,-10-0
0,1,Morning,'Passenger Vehicle',0,-10-0
0,1,Morning,'Passenger Vehicle',0,-10-0
0,1,Morning,Work,0,-10-0
1,1,Evening,Work,0,-10-0
0,1,Evening,Other/NS,0,-10-0
1,1,Evening,Work,0,-10-0
0,1,Morning,'Passenger Vehicle',0,-10-0
0,1,Morning,'Passenger Vehicle',0,-10-0
0,1,Evening,'Passenger Vehicle',0,1-10
0,1,Morning,'Passenger Vehicle',0,1-10
0,1,Morning,'Passenger Vehicle',0,1-10
0,1,Afternoon,Work,0,1-10
0,1,Morning,'Passenger Vehicle',0,1-10
0,1,Afternoon,'Passenger Vehicle',0,1-10
1,1,Morning,Taxi,0,1-10
0,1,Evening,'Passenger Vehicle',0,1-10
0,1,Morning,'Passenger Vehicle',0,1-10
0,1,Afternoon,'Passenger Vehicle',0,1-10
0,1,Morning,'Passenger Vehicle',0,1-10
0,1,Afternoon,'Passenger Vehicle',0,1-10
0,1,Afternoon,'Passenger Vehicle',0,1-10
0,1,Morning,Work,0,1-10
0,1,Afternoon,'Passenger Vehicle',0,1-10
0,1,Morning,'Passenger Vehicle',0,1-10
0,1,Morning,'Passenger Vehicle',0,1-10
0,1,Morning,Work,0,1-10
0,1,Morning,Work,0,1-10
0,1,Morning,'Passenger Vehicle',0,1-10
0,1,Morning,'Passenger Vehicle',0,1-10
1,1,Morning,'Passenger Vehicle',0,1-10
0,1,Morning,'Passenger Vehicle',0,1-10
0,1,Afternoon,'Passenger Vehicle',0,1-10
0,1,Morning,'Passenger Vehicle',0,1-10
0,1,Afternoon,'Passenger Vehicle',0,1-10
0,1,Afternoon,'Passenger Vehicle',0,1-10
0,1,Afternoon,'Passenger Vehicle',0,1-10
0,1,Afternoon,'Passenger Vehicle',0,1-10
0,1,Morning,Other/NS,0,1-10
0,1,Afternoon,'Passenger Vehicle',0,1-10
0,1,Afternoon,'Passenger Vehicle',0,1-10
0,1,Morning,'Passenger Vehicle',0,1-10
0,1,Morning,'Passenger Vehicle',0,1-10
0,1,Afternoon,'Passenger Vehicle',0,1-10
0,1,Evening,'Passenger Vehicle',0,1-10
0,1,Morning,'Passenger Vehicle',0,1-10
0,1,Afternoon,'Passenger Vehicle',0,1-10
0,1,Morning,'Passenger Vehicle',0,1-10
0,1,Afternoon,'Passenger Vehicle',0,1-10
1,1,Evening,'Passenger Vehicle',0,1-10
1,1,Afternoon,Other/NS,0,1-10
0,1,Morning,'Passenger Vehicle',0,1-10
0,1,Afternoon,'Passenger Vehicle',0,1-10
1,1,Evening,'Passenger Vehicle',0,1-10
0,1,Morning,'Passenger Vehicle',0,1-10
0,1,Evening,'Passenger Vehicle',0,1-10
0,1,Morning,Other/NS,0,1-10
0,1,Afternoon,'Passenger Vehicle',0,1-10
0,1,Afternoon,'Passenger Vehicle',0,1-10
0,1,Evening,'Passenger Vehicle',0,1-10
0,1,Evening,'Passenger Vehicle',0,1-10
0,1,Evening,'Passenger Vehicle',0,1-10
0,1,Evening,Work,0,1-10
1,1,Afternoon,'Passenger Vehicle',0,1-10
0,1,Afternoon,Other/NS,0,1-10
0,1,Evening,'Passenger Vehicle',0,1-10
1,1,Morning,'Passenger Vehicle',0,1-10
0,1,Evening,'Passenger Vehicle',0,1-10
0,1,Afternoon,'Passenger Vehicle',0,1-10
0,1,Afternoon,'Passenger Vehicle',0,1-10
0,1,Morning,'Passenger Vehicle',0,1-10
0,1,Afternoon,'Passenger Vehicle',0,1-10
0,1,Morning,'Passenger Vehicle',0,1-10
0,1,Morning,Other/NS,0,1-10
0,1,Morning,Work,0,1-10
0,1,Afternoon,'Passenger Vehicle',0,1-10
0,1,Afternoon,'Passenger Vehicle',0,1-10
0,1,Afternoon,'Passenger Vehicle',0,1-10
0,1,Morning,'Passenger Vehicle',0,1-10
1,1,Morning,'Passenger Vehicle',0,1-10
0,1,Evening,'Passenger Vehicle',0,1-10
0,1,Afternoon,'Passenger Vehicle',0,1-10
0,1,Afternoon,'Passenger Vehicle',0,1-10
0,1,Afternoon,'Passenger Vehicle',0,1-10
0,1,Morning,'Passenger Vehicle',0,1-10
0,1,Afternoon,'Passenger Vehicle',0,1-10
0,1,Morning,'Passenger Vehicle',0,1-10
0,1,Evening,'Passenger Vehicle',0,1-10
0,1,Afternoon,'Passenger Vehicle',0,1-10
0,1,Morning,'Passenger Vehicle',0,1-10
0,1,Morning,Work,0,1-10
0,1,Morning,'Passenger Vehicle',0,1-10
0,1,Afternoon,'Passenger Vehicle',0,1-10
0,1,Afternoon,'Passenger Vehicle',0,1-10
0,1,Afternoon,Work,0,1-10
0,1,Evening,'Passenger Vehicle',0,1-10
0,1,Morning,'Passenger Vehicle',0,1-10
0,1,Afternoon,'Passenger Vehicle',0,1-10
0,1,Evening,'Passenger Vehicle',0,1-10
0,1,Afternoon,'Passenger Vehicle',0,1-10
1,1,Evening,'Passenger Vehicle',0,1-10
0,1,Afternoon,'Passenger Vehicle',0,1-10
1,1,Afternoon,'Passenger Vehicle',0,1-10
1,1,Morning,'Passenger Vehicle',0,1-10
0,1,Afternoon,'Passenger Vehicle',0,1-10
0,1,Afternoon,Taxi,0,1-10
0,1,Evening,'Passenger Vehicle',0,1-10
0,1,Morning,'Passenger Vehicle',0,1-10
0,1,Morning,'Passenger Vehicle',0,1-10
0,1,Afternoon,'Passenger Vehicle',0,1-10
0,1,Evening,'Passenger Vehicle',0,1-10
0,1,Afternoon,'Passenger Vehicle',0,1-10
0,1,Morning,'Passenger Vehicle',0,1-10
1,1,Morning,'Passenger Vehicle',0,1-10
0,1,Afternoon,Other/NS,0,1-10
1,1,Afternoon,'Passenger Vehicle',0,1-10
1,1,Morning,'Passenger Vehicle',0,1-10
0,1,Evening,'Passenger Vehicle',0,1-10
0,1,Evening,'Passenger Vehicle',0,1-10
0,1,Morning,'Passenger Vehicle',0,1-10
0,1,Afternoon,'Passenger Vehicle',0,1-10
0,1,Evening,'Passenger Vehicle',0,1-10
1,1,Evening,'Passenger Vehicle',0,1-10
0,1,Morning,'Passenger Vehicle',0,1-10
0,1,Afternoon,'Passenger Vehicle',0,1-10
1,1,Evening,'Passenger Vehicle',0,1-10
0,1,Evening,'Passenger Vehicle',0,1-10
0,1,Evening,Other/NS,0,1-10
0,1,Morning,'Passenger Vehicle',0,1-10
0,1,Morning,'Passenger Vehicle',0,1-10
0,1,Evening,'Passenger Vehicle',0,1-10
0,1,Morning,'Passenger Vehicle',0,1-10
0,1,Evening,'Passenger Vehicle',0,1-10
0,1,Evening,'Passenger Vehicle',0,1-10
1,1,Evening,'Passenger Vehicle',0,1-10
0,1,Evening,'Passenger Vehicle',0,1-10
0,1,Afternoon,'Passenger Vehicle',0,1-10
0,1,Morning,'Passenger Vehicle',0,1-10
0,1,Afternoon,Work,0,1-10
0,1,Morning,'Passenger Vehicle',0,1-10
0,1,Morning,'Passenger Vehicle',0,1-10
0,1,Afternoon,Other/NS,0,1-10
0,1,Afternoon,'Passenger Vehicle',0,1-10
0,1,Morning,Other/NS,0,1-10
0,1,Morning,'Passenger Vehicle',0,1-10
0,1,Morning,'Passenger Vehicle',0,1-10
0,1,Morning,'Passenger Vehicle',0,1-10
0,1,Morning,'Passenger Vehicle',0,1-10
0,1,Afternoon,'Passenger Vehicle',0,1-10
0,1,Afternoon,Work,0,1-10
0,1,Evening,'Passenger Vehicle',0,1-10
0,1,Afternoon,'Passenger Vehicle',0,1-10
0,1,Evening,'Passenger Vehicle',0,1-10
0,1,Afternoon,'Passenger Vehicle',0,1-10
0,1,Afternoon,Work,0,1-10
0,0,Afternoon,'Passenger Vehicle',0,1-10
0,0,Morning,'Passenger Vehicle',0,1-10
1,0,Morning,'Passenger Vehicle',0,1-10
0,0,Morning,'Passenger Vehicle',0,1-10
0,0,Evening,'Passenger Vehicle',0,1-10
0,0,Afternoon,'Passenger Vehicle',0,1-10
0,0,Afternoon,'Passenger Vehicle',0,1-10
1,0,Morning,'Passenger Vehicle',0,1-10
0,0,Evening,'Passenger Vehicle',0,1-10
0,0,Morning,Other/NS,0,1-10
0,0,Morning,'Passenger Vehicle',0,1-10
0,0,Morning,Other/NS,0,1-10
0,0,Afternoon,'Passenger Vehicle',0,1-10
0,0,Afternoon,'Passenger Vehicle',0,1-10
0,0,Afternoon,'Passenger Vehicle',0,1-10
0,0,Morning,'Passenger Vehicle',0,1-10
1,0,Evening,'Passenger Vehicle',0,1-10
0,0,Afternoon,'Passenger Vehicle',0,1-10
0,0,Evening,'Passenger Vehicle',0,1-10
1,0,Evening,'Passenger Vehicle',0,1-10
0,0,Evening,'Passenger Vehicle',0,1-10
0,0,Morning,'Passenger Vehicle',0,1-10
0,0,Evening,'Passenger Vehicle',0,1-10
0,0,Afternoon,'Passenger Vehicle',0,1-10
0,0,Afternoon,'Passenger Vehicle',0,1-10
1,0,Morning,'Passenger Vehicle',0,1-10
0,0,Evening,'Passenger Vehicle',0,1-10
1,0,Evening,'Passenger Vehicle',0,1-10
1,0,Morning,'Passenger Vehicle',0,1-10
0,0,Afternoon,Other/NS,0,1-10
1,0,Afternoon,'Passenger Vehicle',0,1-10
1,0,Evening,Other/NS,0,1-10
0,0,Afternoon,'Passenger Vehicle',0,1-10
0,0,Morning,'Passenger Vehicle',0,1-10
0,0,Evening,'Passenger Vehicle',0,1-10
0,0,Afternoon,'Passenger Vehicle',0,1-10
0,0,Evening,'Passenger Vehicle',0,1-10
0,0,Afternoon,Work,0,1-10
0,0,Afternoon,'Passenger Vehicle',0,1-10
0,0,Afternoon,'Passenger Vehicle',0,1-10
0,0,Afternoon,Work,0,1-10
1,0,Afternoon,'Passenger Vehicle',0,1-10
0,0,Evening,'Passenger Vehicle',0,1-10
0,0,Morning,'Passenger Vehicle',0,1-10
0,0,Afternoon,'Passenger Vehicle',0,1-10
0,0,Morning,'Passenger Vehicle',0,1-10
0,0,Morning,'Passenger Vehicle',0,1-10
0,0,Afternoon,'Passenger Vehicle',0,1-10
0,0,Afternoon,Other/NS,0,1-10
0,0,Afternoon,'Passenger Vehicle',0,1-10
0,0,Afternoon,'Passenger Vehicle',0,1-10
0,0,Afternoon,'Passenger Vehicle',0,1-10
0,0,Afternoon,Other/NS,0,1-10
0,0,Evening,'Passenger Vehicle',0,1-10
0,0,Afternoon,'Passenger Vehicle',1,1-10
0,0,Afternoon,'Passenger Vehicle',1,1-10
0,0,Afternoon,'Passenger Vehicle',1,1-10
0,0,Morning,'Passenger Vehicle',1,1-10
0,0,Evening,'Passenger Vehicle',1,1-10
0,0,Morning,'Passenger Vehicle',1,1-10
0,0,Morning,Other/NS,1,1-10
0,0,Afternoon,'Passenger Vehicle',1,1-10
0,0,Afternoon,'Passenger Vehicle',1,1-10
0,0,Morning,'Passenger Vehicle',1,1-10
0,0,Evening,'Passenger Vehicle',1,1-10
0,0,Afternoon,Other/NS,1,1-10
0,0,Evening,'Passenger Vehicle',1,1-10
